Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Type of Company,Description
27,Mitsubishi UFJ Financial,59,11.9,2653.1,85.7,Bank,"Mitsubishi UFJ Financial Group, Inc. is a Japanese bank holding and financial services company headquartered in Chiyoda, Tokyo, Japan. MUFG holds assets of around US$2,459 billion as of 2016, making it the world's fifth largest bank by total assets and is one of the main companies of the Mitsubishi Group."
31,Toyota Motor,224.5,3.4,371.3,167.2,Cars,"Toyota Motor Corporation is a Japanese multinational automotive manufacturer headquartered in Toyota, Aichi, Japan. It was founded by Kiichiro Toyoda and incorporated on August 28, 1937."
46,Nippon Telegraph & Tel,126.9,5.6,226,58.2,Technology,"The Nippon Telegraph and Telephone Corporation, commonly known as NTT, is a Japanese telecommunications company headquartered in Tokyo, Japan."
51,Sumitomo Mitsui Financial,47.3,6.3,1733.2,57.6,Bank,"Kabushikigaisha mitsui sumitomo ginkō) is a Japanese multinational banking and financial services institution headquartered in Yurakucho, Chiyoda, Tokyo, Japan. The group operates in retail, corporate, and investment banking segment worldwide. It provides financial products and services to a wide range of clients, including individuals, small and medium-sized enterprises, large corporations, financial institutions and public sector entities. Since 2011, it has been included into the Financial Stability Board's list of global systemically important banks."
78,Mizuho Financial,32.8,5.9,2005,53.7,Bank,"Mizuho Financial Group, Inc., abbreviated as MHFG, or simply called Mizuho, is a banking holding company headquartered in the Ōtemachi district of Chiyoda, Tokyo, Japan. The name ""mizuho"" literally means ""abundant rice"" in Japanese and ""harvest"" in the figurative sense."
85,Nissan Motor,113.7,4.1,133.4,43.4,Cars,"The Nissan Motor Company, Ltd., trading as the Nissan Motor Corporation and often shortened to Nissan, is a Japanese multinational automobile manufacturer headquartered in Nishi-ku, Yokohama, Japan."
86,Honda Motor,96,2.6,140.9,72.4,Cars,"The Honda Motor Company, Ltd. is a Japanese public multinational conglomerate corporation primarily known as a manufacturer of automobiles, motorcycles, and power equipment."
110,Mitsubishi Corp,67.2,5.5,152.6,32.1,Utility,"Mitsubishi Corporation is Japan's largest trading company and a member of the Mitsubishi keiretsu. As of 2019, Mitsubishi Corporation employs over 79,000 people and has seven business segments, including finance, banking, energy, machinery, chemicals, and food."
117,Hitachi,116.8,4.2,113.2,28.5,Conglomerate,"Hitachi, Ltd. is a Japanese multinational conglomerate company headquartered in Chiyoda, Tokyo, Japan. It is the parent company of the Hitachi Group and had formed part of the Nissan zaibatsu and later DKB Group of companies before DKB merged into the Mizuho Financial Group."
126,Mitsui & Co,63.4,5.2,109.3,27,Trade,"Mitsui & Co., Ltd. is one of the largest sogo shosha in Japan; it is part of the Mitsui Group, and Its business area covers energy, machinery, chemicals, food, textile, logistics, finance, and more."
148,Softbank,38.7,3.8,58.3,47.2,Conglomerate,"SoftBank Group Corp. is a Japanese multinational conglomerate holding company headquartered in Minato, Tokyo. SoftBank owns stakes in many technology, energy, and financial companies. It also runs Vision Fund, the world's largest technology-focused venture capital fund, with over $100 billion in capital."
172,Itochu,51.6,3.6,78.1,20.2,Trade,"Itochu Corporation is a Japanese corporation based in Umeda, Kita-ku, Osaka and Aoyama, Minato, Tokyo. Itochu is one of the largest Japanese sogo shosha."
181,Canon,40.1,2.6,45.7,41.9,Technology,"Canon Inc. is a Japanese multinational corporation headquartered in Ōta, Tokyo, Japan, specializing in optical, imaging, and industrial products, such as lenses, cameras, medical equipment, scanners, printers, and semiconductor manufacturing equipment. "
